slice,scenario,model,seed,N,students,questions,prediction_kind,weighting,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
first_response_unseen_student,global_calendar_learner_feedback,AdaptiveMath-AI,20260713,965,660,736,temporal_outer,interaction,0.6041423357664173,0.770789617821606,0.38958432305947155,0.5900236555089567,0.20078030547085246,0.026949024532650648,-0.2550417827079333,1.1341606631472356,0.7119170984455969,
first_response_unseen_student,global_calendar_learner_feedback,AdaptiveMath-AI,20260714,965,660,736,temporal_outer,interaction,0.6041423357664173,0.770789617821606,0.38958432305947155,0.5900236555089567,0.20078030547085246,0.026949024532650648,-0.2550417827079333,1.1341606631472356,0.7119170984455969,
first_response_unseen_student,global_calendar_learner_feedback,AdaptiveMath-AI,20260715,965,660,736,temporal_outer,interaction,0.6041423357664173,0.770789617821606,0.38958432305947155,0.5900236555089567,0.20078030547085246,0.026949024532650648,-0.2550417827079333,1.1341606631472356,0.7119170984455969,
first_response_unseen_student,global_calendar_learner_feedback,AdaptiveMath-AI,20260716,965,660,736,temporal_outer,interaction,0.6041423357664173,0.770789617821606,0.38958432305947155,0.5900236555089567,0.20078030547085246,0.026949024532650648,-0.2550417827079333,1.1341606631472356,0.7119170984455969,
first_response_unseen_student,global_calendar_learner_feedback,AdaptiveMath-AI,20260717,965,660,736,temporal_outer,interaction,0.6041423357664173,0.770789617821606,0.38958432305947155,0.5900236555089567,0.20078030547085246,0.026949024532650648,-0.2550417827079333,1.1341606631472356,0.7119170984455969,
first_response_unseen_student,global_calendar_learner_feedback,AdaptiveMath-AI,20260718,965,660,736,temporal_outer,interaction,0.6041423357664173,0.770789617821606,0.38958432305947155,0.5900236555089567,0.20078030547085246,0.026949024532650648,-0.2550417827079333,1.1341606631472356,0.7119170984455969,
first_response_unseen_student,global_calendar_learner_feedback,AdaptiveMath-AI,20260719,965,660,736,temporal_outer,interaction,0.6041423357664173,0.770789617821606,0.38958432305947155,0.5900236555089567,0.20078030547085246,0.026949024532650648,-0.2550417827079333,1.1341606631472356,0.7119170984455969,
first_response_unseen_student,global_calendar_learner_feedback,AdaptiveMath-AI,20260720,965,660,736,temporal_outer,interaction,0.6041423357664173,0.770789617821606,0.38958432305947155,0.5900236555089567,0.20078030547085246,0.026949024532650648,-0.2550417827079333,1.1341606631472356,0.7119170984455969,
first_response_unseen_student,global_calendar_learner_feedback,AdaptiveMath-AI,20260721,965,660,736,temporal_outer,interaction,0.6041423357664173,0.770789617821606,0.38958432305947155,0.5900236555089567,0.20078030547085246,0.026949024532650648,-0.2550417827079333,1.1341606631472356,0.7119170984455969,
first_response_unseen_student,global_calendar_learner_feedback,AdaptiveMath-AI,20260722,965,660,736,temporal_outer,interaction,0.6041423357664173,0.770789617821606,0.38958432305947155,0.5900236555089567,0.20078030547085246,0.026949024532650648,-0.2550417827079333,1.1341606631472356,0.7119170984455969,
first_response_unseen_student,global_calendar_learner_feedback,HGB100,20260713,965,660,736,temporal_outer,interaction,0.5670855057351349,0.7360562106439792,0.36758137669388624,0.5962420678827687,0.2031700359132462,0.02492894039018733,0.05809495285824679,0.8714032086884295,0.7098445595854933,
