model,group,columns,repeat,ROC_AUC_drop,split,model_hash,interpretation
AdaptiveMath-AI,learner_recent,"[""rolling_accuracy_5"", ""rolling_accuracy_20"", ""rolling_accuracy_50"", ""ewm_accuracy""]",3,0.03694860279237666,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,learner_recent,"[""rolling_accuracy_5"", ""rolling_accuracy_20"", ""rolling_accuracy_50"", ""ewm_accuracy""]",4,0.03663938092674024,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,learner_concept,"[""prior_subject_opportunities"", ""prior_subject_accuracy"", ""bkt_mastery""]",0,0.009609884882394004,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,learner_concept,"[""prior_subject_opportunities"", ""prior_subject_accuracy"", ""bkt_mastery""]",1,0.009637212750166047,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,learner_concept,"[""prior_subject_opportunities"", ""prior_subject_accuracy"", ""bkt_mastery""]",2,0.009164823140494938,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,learner_concept,"[""prior_subject_opportunities"", ""prior_subject_accuracy"", ""bkt_mastery""]",3,0.009788739502529897,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,learner_concept,"[""prior_subject_opportunities"", ""prior_subject_accuracy"", ""bkt_mastery""]",4,0.010100603463447433,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,elo,"[""elo_student_ability"", ""elo_probability""]",0,0.03488107156567166,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,elo,"[""elo_student_ability"", ""elo_probability""]",1,0.03572592965152066,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,elo,"[""elo_student_ability"", ""elo_probability""]",2,0.03299160941961088,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,elo,"[""elo_student_ability"", ""elo_probability""]",3,0.03560457363126657,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
AdaptiveMath-AI,elo,"[""elo_student_ability"", ""elo_probability""]",4,0.03519695430879133,frozen global-calendar evaluation,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,Predictive dependence-group perturbation; not causal importance.
HGB100,question_rate,"[""question_historical_accuracy"", ""question_difficulty"", ""rasch_question_difficulty""]",0,0.01845577069919979,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,question_rate,"[""question_historical_accuracy"", ""question_difficulty"", ""rasch_question_difficulty""]",1,0.017753862626389227,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,question_rate,"[""question_historical_accuracy"", ""question_difficulty"", ""rasch_question_difficulty""]",2,0.017816717689442374,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,question_rate,"[""question_historical_accuracy"", ""question_difficulty"", ""rasch_question_difficulty""]",3,0.016869024077135975,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,question_rate,"[""question_historical_accuracy"", ""question_difficulty"", ""rasch_question_difficulty""]",4,0.01675893227443559,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,collaborative,"[""student_question_similarity"", ""matrix_factorization_score"", ""collaborative_state_norm""]",0,0.0007953992823197531,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,collaborative,"[""student_question_similarity"", ""matrix_factorization_score"", ""collaborative_state_norm""]",1,0.0007508913650846605,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,collaborative,"[""student_question_similarity"", ""matrix_factorization_score"", ""collaborative_state_norm""]",2,0.0009287947501441796,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,collaborative,"[""student_question_similarity"", ""matrix_factorization_score"", ""collaborative_state_norm""]",3,0.0007506627498166107,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,collaborative,"[""student_question_similarity"", ""matrix_factorization_score"", ""collaborative_state_norm""]",4,0.0008269231064697014,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,learner_counts,"[""prior_interaction_count"", ""prior_correct_count"", ""prior_cumulative_accuracy"", ""rasch_ability""]",0,0.010426073912154887,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,learner_counts,"[""prior_interaction_count"", ""prior_correct_count"", ""prior_cumulative_accuracy"", ""rasch_ability""]",1,0.010986738987185385,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,learner_counts,"[""prior_interaction_count"", ""prior_correct_count"", ""prior_cumulative_accuracy"", ""rasch_ability""]",2,0.01121489426137634,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,learner_counts,"[""prior_interaction_count"", ""prior_correct_count"", ""prior_cumulative_accuracy"", ""rasch_ability""]",3,0.010108588949060082,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,learner_counts,"[""prior_interaction_count"", ""prior_correct_count"", ""prior_cumulative_accuracy"", ""rasch_ability""]",4,0.010820599032099087,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,learner_recent,"[""rolling_accuracy_5"", ""rolling_accuracy_20"", ""rolling_accuracy_50"", ""ewm_accuracy""]",0,0.03876834578432953,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,learner_recent,"[""rolling_accuracy_5"", ""rolling_accuracy_20"", ""rolling_accuracy_50"", ""ewm_accuracy""]",1,0.03826138329666795,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,learner_recent,"[""rolling_accuracy_5"", ""rolling_accuracy_20"", ""rolling_accuracy_50"", ""ewm_accuracy""]",2,0.03819050512373212,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,learner_recent,"[""rolling_accuracy_5"", ""rolling_accuracy_20"", ""rolling_accuracy_50"", ""ewm_accuracy""]",3,0.038316410279599866,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
HGB100,learner_recent,"[""rolling_accuracy_5"", ""rolling_accuracy_20"", ""rolling_accuracy_50"", ""ewm_accuracy""]",4,0.0381574578354944,frozen global-calendar evaluation,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,Predictive dependence-group perturbation; not causal importance.
