model,model_hash,repeat,component,median,p95,p99,unit,timestamp_batches,events,state_reset,warmup_repetitions,hardware,threads
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,5,state_update_ms,0.0145,0.02071525,0.02751207999999999,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
AdaptiveMath-AI,43aeea9c487ec7d0d59d53796d5831d5fbe206e17a883e10921f3d3afb25cfc3,5,event_batch_ms,13.84525,19.110483349999996,21.736692089999995,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,1,features_ms,0.1081455,1.0034482499999986,2.3621440799999958,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,1,prediction_ms,6.8904795,16.330503849999957,32.67804565999999,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,1,state_update_ms,0.017083,0.040166699999999986,0.06100541999999999,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,1,event_batch_ms,7.064458,16.481067299999957,33.02801199999999,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,2,features_ms,0.101667,0.8780145499999984,2.068532499999997,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,2,prediction_ms,5.772,12.94716075,20.28266958999998,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,2,state_update_ms,0.0149375,0.0288351,0.048314909999999864,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,2,event_batch_ms,6.0395625,13.126818749999986,20.56755749999997,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,3,features_ms,0.1015,0.8557103999999994,2.266506669999998,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,3,prediction_ms,6.5329375,16.984019399999944,26.952677409999982,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,3,state_update_ms,0.016292,0.03608989999999998,0.0582170799999998,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,3,event_batch_ms,6.706958500000001,17.134099999999947,27.10934174999998,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,4,features_ms,0.084792,0.717350649999998,1.427530329999986,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,4,prediction_ms,3.9387085,8.519461849999999,17.703292579999978,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,4,state_update_ms,0.010728999999999999,0.023081249999999973,0.038748839999999965,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,4,event_batch_ms,4.1753955000000005,8.736804499999998,17.79875740999998,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,5,features_ms,0.0979165,0.750079199999998,2.15982916999999,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,5,prediction_ms,5.390833000000001,10.75281284999999,20.499798159999997,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,5,state_update_ms,0.0140625,0.0320125,0.05011074999999994,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
HGB100,b2018a54e0fff246a3ead7497303137b0115ffdffb33b24da960ba4c0c3c4f8d,5,event_batch_ms,5.641583499999999,11.373329149999998,20.669396669999998,milliseconds per timestamp batch,200,374,exact deepcopy of pre-stream state per repetition,1,macOS-27.0-arm64-arm-64bit,4
