contrast,cluster,metric,delta,lower,upper,B_requested,B_valid,B_invalid,count_delta_le0,count_delta_ge0,p_two_sided,p_formula,minimum_p_resolution,uncertainty,estimator,model_lower,model_upper,comparator_lower,comparator_upper,group_field,group,N
subgroup_primary_subject_id_49,student,ROC_AUC,0.002229048299615788,-0.002741219856011634,0.007371858648472106,5000,5000,0,942,4058,0.377124575084983,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.7310030056486672,0.782554392200791,0.7276991579759928,0.7801508096274886,primary_subject_id,202,3656
subgroup_primary_subject_id_49,student,Log_Loss,-0.0017574091408971704,-0.005028835653349694,0.0015677646888003548,5000,5000,0,4245,755,0.3023395320935813,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.446099730543538,0.5096191623766203,0.44775729034330913,0.5107656259638252,primary_subject_id,202,3656
subgroup_primary_subject_id_49,student,Brier,-0.0007803582786231889,-0.0021258757181086586,0.0005716121918215027,5000,5000,0,4336,664,0.2659468106378724,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.14343789917949215,0.1691667491947055,0.14441331416365338,0.16952513888771978,primary_subject_id,202,3656
subgroup_primary_subject_id_49,student,ECE15,-0.002950337459203742,-0.012335016753270563,0.00638549569313532,5000,5000,0,3875,1125,0.45030993801239755,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.015635291422558213,0.03750186346795508,0.018613554274069216,0.040250941334442986,primary_subject_id,202,3656
subgroup_primary_subject_id_50,student,ROC_AUC,0.0075451987037353785,0.0017512151587998793,0.014500703567077267,5000,5000,0,24,4976,0.009998000399920015,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.7240356151273737,0.800908041943125,0.7136743715782398,0.7944960435960523,primary_subject_id,203,3394
subgroup_primary_subject_id_50,student,Log_Loss,-0.00769989810615529,-0.015495678619864546,-0.0023545843610137183,5000,5000,0,4998,2,0.0011997600479904018,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.4259452886756172,0.5105051833934381,0.4309403903392826,0.5234860923512004,primary_subject_id,203,3394
subgroup_primary_subject_id_50,student,Brier,-0.002439005210576606,-0.003811315900765376,-0.0011878171952647456,5000,5000,0,4999,1,0.0007998400319936012,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.13544086008732897,0.1675062189402969,0.1374609108035185,0.17073162326443483,primary_subject_id,203,3394
subgroup_primary_subject_id_50,student,ECE15,-0.007212934226327076,-0.019131801198570733,0.006544251708187408,5000,5000,0,4009,991,0.3967206558688262,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.015739322482583015,0.03813821736800256,0.019543806402671376,0.0460366965017882,primary_subject_id,203,3394
subgroup_primary_subject_id_51,student,ROC_AUC,0.0001172149391921451,-0.004497733242091631,0.004762026314802192,5000,5000,0,2472,2528,0.989002199560088,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.7612681304723862,0.8276762433790622,0.7607418904796207,0.8276757763585519,primary_subject_id,204,3597
subgroup_primary_subject_id_51,student,Log_Loss,0.0006274370652890604,-0.002669873902639598,0.003803259419057856,5000,5000,0,1782,3218,0.7130573885222955,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.3946636220124691,0.48953697403357666,0.39378158878097635,0.4890516814414549,primary_subject_id,204,3597
subgroup_primary_subject_id_51,student,Brier,-4.556970710561936e-05,-0.0012042726085460579,0.001136408445412543,5000,5000,0,2634,2366,0.9466106778644271,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.12647040571755053,0.16293401038692956,0.1266572958786724,0.1629017013504651,primary_subject_id,204,3597
subgroup_primary_subject_id_51,student,ECE15,-0.002961688891682794,-0.010215515384426143,0.009315748786622578,5000,5000,0,2735,2265,0.9062187562487503,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.01784706872091074,0.03825647527073903,0.01811870819778146,0.039209612677904425,primary_subject_id,204,3597
subgroup_primary_subject_id_52,student,ROC_AUC,0.005876445228297111,-0.003993137183944856,0.017176303622346185,5000,5000,0,649,4352,0.2599480103979204,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.6676777997758254,0.7510759791045369,0.659306720383434,0.7468713423906689,primary_subject_id,207,1062
subgroup_primary_subject_id_52,student,Log_Loss,-0.0006915451967344222,-0.006224236705693981,0.004590220940931524,5000,5000,0,2937,2063,0.8254349130173965,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.44816787553251514,0.5341016685333677,0.44661416795122744,0.5358947732956589,primary_subject_id,207,1062
subgroup_primary_subject_id_52,student,Brier,-2.4469109418973067e-05,-0.0021797661033631974,0.002113725667305733,5000,5000,0,2495,2505,0.9982003599280144,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.14445023358875667,0.17792423713173658,0.14395580148203552,0.17829026805359502,primary_subject_id,207,1062
subgroup_primary_subject_id_52,student,ECE15,0.010263666648371257,-0.010385493941254362,0.02497837342966168,5000,5000,0,855,4145,0.34233153369326136,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.04129346892116657,0.07896413741285652,0.03437273847470575,0.07100525035658072,primary_subject_id,207,1062
subgroup_primary_subject_id_53,student,ROC_AUC,0.002959182671536831,-0.0038138399103721243,0.009728655028143258,5000,5000,0,961,4040,0.3847230553889222,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.7404723656527888,0.815964565631585,0.7368840417881749,0.8131292301415726,primary_subject_id,208,1375
