model,fit_rows,fit_max_time,iterations,converged,identifiability,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
Joint_ridge_logistic_student_item_intercepts,180585,2019-05-31 20:01:00+00:00,283.0,True,"L2 penalty identifies student/item contributions; unknown one-hot blocks zero, learned global intercept retained.",0.6371402779575571,0.7538849391313291,0.480024557251037,0.6271584649453452,0.2178488261780997,0.035430412690451406,0.1437137402510237,0.6703634873624186,0.6594852505832153,
BKT_fixed,180585,,,,,0.6377494815293681,0.7565679022073364,0.4565015647768376,0.6747484606713158,0.23829111160064992,0.14114272984807247,0.426702204477628,0.4121349425229786,0.5963709817851712,
BKT_train_fitted,180585,,,True,,0.6677414412824279,0.7701614037566071,0.49660172519637147,0.6080422630581362,0.21001003682891253,0.012120082500443465,-0.01802031659161406,1.0629762951502564,0.6714937484761441,
BKT_prespecified_sensitivity,180585,,,,,0.6389669460470485,0.7560138623727032,0.4590827553745276,0.6696800511331811,0.23839525946310852,0.13302939133828595,0.4978186852146147,0.4833633302736591,0.5988367638351114,
