Model,Split,N,Accuracy,Balanced_Accuracy,Macro_F1,Weighted_F1,Precision,Recall,Specificity,ROC_AUC,PR_AUC,MCC,Kappa,Log_Loss,Brier_Score,ECE,MCE,FPR,FNR,Calibration_Slope,Calibration_Intercept,Confusion_Matrix,History_Cap,Family
SAKT-inspired attention proxy,stress_short_history,271,0.6494464944649446,0.5066526610644257,0.4822523881347411,0.5940770176932539,0.6932773109243697,0.8823529411764706,0.1309523809523809,0.570218996689585,0.7361465408470216,0.0188165670063647,0.0159767610748002,0.638509334671584,0.2209600484544475,0.0848865478241135,0.3686081729829311,0.8690476190476191,0.1176470588235294,0.3237230500645224,0.4934870986046351,"[[11,73],[22,165]]",5,Knowledge Tracing
Subject-time SAKT proxy,stress_short_history,271,0.6642066420664207,0.5402979373567609,0.5320937292476995,0.6265911599444236,0.7105263157894737,0.8663101604278075,0.2142857142857142,0.5693913929208048,0.7214708309253273,0.1020167791793125,0.0931121979921304,0.6335900400341737,0.2190542717206071,0.0866706001802564,0.3538076678911844,0.7857142857142857,0.1336898395721925,0.35679174583437,0.5286010929087298,"[[18,66],[25,162]]",5,Knowledge Tracing
Static key-value attention proxy,stress_short_history,271,0.6383763837638377,0.5576457855869621,0.5589544307160887,0.6300888756197246,0.7236180904522613,0.7700534759358288,0.3452380952380952,0.5632798573975045,0.7203846383681367,0.1207161059599483,0.1200132538104704,0.6991297638226105,0.2377553950133165,0.1524067913144277,0.8926947712898254,0.6547619047619048,0.2299465240641711,0.1624737148127767,0.6735652861404641,"[[29,55],[43,144]]",5,Knowledge Tracing
Subject Historical Mean,stress_short_history,271,0.6974169741697417,0.515183346065699,0.4437825390468563,0.5865385325859667,0.6966292134831461,0.9946524064171124,0.0357142857142857,0.5607333842627961,0.7255387856036453,0.1164587988205748,0.0411632723507077,0.6135624940239683,0.2113799487633205,0.0469229549059568,0.4545792639255523,0.9642857142857144,0.0053475935828877,1.0302276868966451,0.1064082483931979,"[[3,81],[1,186]]",5,Simple
AFM-style logistic baseline,stress_short_history,271,0.7011070110701108,0.5178571428571429,0.4454717696097006,0.588571931948952,0.6977611940298507,1.0,0.0357142857142857,0.5585052202699261,0.7280129184209562,0.1578608331535192,0.0486282668053569,0.6136095814596024,0.2113869494076088,0.0534910919766202,0.445476774598942,0.9642857142857144,0.0,1.0240009991111585,0.1114720353475032,"[[3,81],[0,187]]",5,Psychometric
Majority Class,stress_short_history,271,0.6900369003690037,0.5,0.408296943231441,0.5634799142751253,0.6900369003690037,1.0,0.0,0.5,0.6900369003690037,0.0,0.0,2.1418396199146845,0.3093441734317343,0.3089630996309963,0.3089630996309963,1.0,0.0,0.1134928436398409,0.0164321519152734,"[[0,84],[0,187]]",5,Simple
Global Correctness Mean,stress_short_history,271,0.6900369003690037,0.5,0.408296943231441,0.5634799142751253,0.6900369003690037,1.0,0.0,0.5,0.6900369003690037,0.0,0.0,0.6223671733971061,0.2153548310793858,0.0383256386932355,0.0383256386932355,1.0,0.0,0.3600922369011727,0.5747041561733728,"[[0,84],[0,187]]",5,Simple
Exposure-SVD collaborative proxy,stress_short_history,271,0.6900369003690037,0.5,0.408296943231441,0.5634799142751253,0.6900369003690037,1.0,0.0,0.5,0.6900369003690037,0.0,0.0,0.6202581209164948,0.2143797313298344,0.022220594764612,0.022220594764612,1.0,0.0,0.3982870426180595,0.43942928200785,"[[0,84],[0,187]]",5,Psychometric
Neural MF proxy,stress_short_history,271,0.6900369003690037,0.5,0.408296943231441,0.5634799142751253,0.6900369003690037,1.0,0.0,0.5,0.6900369003690037,0.0,0.0,0.6931471805599453,0.25,0.1900369003690036,0.1900369003690036,1.0,0.0,0.0,0.8002957453203937,"[[0,84],[0,187]]",5,Collaborative Deep
MLPClassifier,stress_short_history,271,0.7564575645756457,0.6923694283244846,0.7029693104822639,0.7462250290099552,0.7843137254901961,0.8791208791208791,0.5056179775280899,0.7819483886899616,0.8775654077713178,0.4188362497617121,0.410675453047776,0.5211869108203072,0.174014319575961,0.0791706143480051,0.8044353495684796,0.4943820224719101,0.1208791208791208,1.209652435468208,-0.044770943455678,"[[45,44],[22,160]]",10,Classical ML
AdaptiveMath-AI,stress_short_history,271,0.7380073800738007,0.6757624398073836,0.6840402647092632,0.7288522444316025,0.7761194029850746,0.8571428571428571,0.4943820224719101,0.7765773552290406,0.8745731342751548,0.3771722363113433,0.3718044990042117,0.5237705629412533,0.1753328491708635,0.0413628096780665,0.0916460227112319,0.5056179775280899,0.1428571428571428,1.1936990684321316,0.0520979571283563,"[[44, 45], [26, 156]]",10,Proposed
HistGradientBoosting,stress_short_history,271,0.7601476014760148,0.7037288554142487,0.7128348086923917,0.7528356244094548,0.7939698492462312,0.8681318681318682,0.5393258426966292,0.7758982590443264,0.8715096149846567,0.4332319243752519,0.4283628103196495,0.5231780907531229,0.1747130600218177,0.0786368236548778,0.2719349636800064,0.4606741573033708,0.1318681318681318,1.1308919630979315,0.0182720525429919,"[[48,41],[24,158]]",10,Classical ML
Random Forest,stress_short_history,271,0.7158671586715867,0.7080812445980985,0.6942877653573992,0.7221611483882246,0.8260869565217391,0.7307692307692307,0.6853932584269663,0.7750956908260279,0.8719437680518434,0.3980011704234968,0.3925005094762583,0.5593052051889806,0.1893271445023901,0.1243102527020202,0.2720345638852074,0.3146067415730337,0.2692307692307692,1.269352528174321,0.5437283210867517,"[[61,28],[49,133]]",10,Classical ML
Logistic Regression,stress_short_history,271,0.7453874538745388,0.6611618718360291,0.6722750933277248,0.7253957927875193,0.7603686635944701,0.9065934065934066,0.4157303370786517,0.7729966662550932,0.8739388243745734,0.3789625107397202,0.3583267561168114,0.5324452160078358,0.1785197538073556,0.0687690778663082,0.8650580802616472,0.5842696629213483,0.0934065934065934,1.1121190818190163,-0.0644284497977462,"[[37,52],[17,165]]",10,Classical ML
Gated MLP proxy,stress_short_history,271,0.7195571955719557,0.6304482034819113,0.6373943661971831,0.6966280338859727,0.7431192660550459,0.8901098901098901,0.3707865168539326,0.7724410421039634,0.8781916751318861,0.3089104597345057,0.2909666758468741,0.5300554751687866,0.1793363856253314,0.0520765848485306,0.7403424978256226,0.6292134831460674,0.1098901098901098,1.1925188455252826,-0.2426529693887553,"[[33,56],[20,162]]",10,Deep Tabular
Residual MLP,stress_short_history,271,0.7269372693726938,0.638813433757254,0.6469366197183098,0.704611506678447,0.7477064220183486,0.8956043956043956,0.3820224719101123,0.7718236819360416,0.877300943890532,0.3287199094713848,0.3096254475351142,0.5343301917773057,0.1800987264715585,0.0708808692179042,0.752692386507988,0.6179775280898876,0.1043956043956044,1.2965692569088387,-0.2021099016510034,"[[34,55],[19,163]]",10,Deep Tabular
Extra Trees,stress_short_history,271,0.7084870848708487,0.702586739103593,0.6876468099385769,0.7153346037771666,0.8238993710691824,0.7197802197802198,0.6853932584269663,0.7708359056673664,0.8730575015286541,0.386424037128772,0.3800781815549442,0.5611549990307132,0.1910532011088216,0.1105586768477784,0.2109418832924884,0.3146067415730337,0.2802197802197802,1.174983746608362,0.5656086767997428,"[[61,28],[51,131]]",10,Classical ML
Subject-graph embedding proxy,stress_short_history,271,0.7269372693726938,0.6302012594147426,0.6368081715444799,0.698897105603916,0.7410714285714286,0.912087912087912,0.348314606741573,0.7670700086430424,0.869283857503629,0.3230003106005616,0.2961038961038962,0.535939692785122,0.1805795009230505,0.0608267695591458,0.760302908718586,0.651685393258427,0.0879120879120879,1.1444828702490524,-0.2080226482741103,"[[31,58],[16,166]]",10,Knowledge Tracing
Compact numeric-token Transformer proxy,stress_short_history,271,0.7380073800738007,0.6556673663415237,0.6657517588812647,0.719083288809089,0.7581395348837209,0.8956043956043956,0.4157303370786517,0.7618224472157057,0.868138124060065,0.3611145832961519,0.3439151635012104,0.5360986287792281,0.1804521411445173,0.0533488034322253,0.2419887632131576,0.5842696629213483,0.1043956043956044,1.108105531129956,-0.0753596063544692,"[[37,52],[19,163]]",10,Deep Tabular
