Variant,ROC_AUC,Log_Loss,Brier_Score
AdaptiveMath-AI with subject-parent fallback,0.7409804311708923,0.5703884153336071,0.19437445523979466
Without hierarchy fallback,0.7404468698758708,0.5706282493192523,0.19446453154430576
