model,bins,equal_frequency,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE10_width,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason,ECE15,ECE15_frequency
AdaptiveMath-AI,10,False,0.7641311173175793,0.8543730028094478,0.6109370872946555,0.5443652401196317,0.1842623386037043,0.006764018548135525,-0.019032308832803612,1.0299693665400433,0.7194929126177754,,,
AdaptiveMath-AI,15,False,0.7641311173175793,0.8543730028094478,0.6109370872946555,0.5443652401196317,0.1842623386037043,,-0.019032308832803612,1.0299693665400433,0.7194929126177754,,0.006586994696565328,
AdaptiveMath-AI,15,True,0.7641311173175793,0.8543730028094478,0.6109370872946555,0.5443652401196317,0.1842623386037043,,-0.019032308832803612,1.0299693665400433,0.7194929126177754,,,0.00676127569880945
HGB100,10,False,0.7599490189998656,0.8516796101799723,0.6055575871423174,0.5475526411419628,0.1856360143706241,0.004072739796849817,-0.011588577865570358,1.0095220293857037,0.717347542924607,,,
HGB100,15,False,0.7599490189998656,0.8516796101799723,0.6055575871423174,0.5475526411419628,0.1856360143706241,,-0.011588577865570358,1.0095220293857037,0.717347542924607,,0.005165243651147771,
HGB100,15,True,0.7599490189998656,0.8516796101799723,0.6055575871423174,0.5475526411419628,0.1856360143706241,,-0.011588577865570358,1.0095220293857037,0.717347542924607,,,0.004738965213225377
