model,group_field,group,N,students,questions,prevalence,status,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
AdaptiveMath-AI,primary_subject_id,85,274,116,54,0.5985401459854015,low_support,,,,,,,,,,
HGB100,primary_subject_id,85,274,116,54,0.5985401459854015,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,86,1668,342,206,0.6306954436450839,estimable,0.7738082378647965,0.8580496596804147,0.6394986574407946,0.5414589442547397,0.18410405132122876,0.025846145615179103,-0.043612924219669016,1.0625788848216997,0.7158273381294963,
HGB100,primary_subject_id,86,1668,342,206,0.6306954436450839,estimable,0.77146498938324,0.8579760136520337,0.6355080218343512,0.5431217463770954,0.18506666018601337,0.020132105476303022,0.011282563599024274,1.0528309420469568,0.7140287769784172,
AdaptiveMath-AI,primary_subject_id,87,161,72,39,0.6211180124223602,low_support,,,,,,,,,,
HGB100,primary_subject_id,87,161,72,39,0.6211180124223602,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,88,607,205,118,0.5354200988467874,low_support,,,,,,,,,,
HGB100,primary_subject_id,88,607,205,118,0.5354200988467874,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,89,1246,196,133,0.6203852327447833,estimable,0.7910860462381206,0.8626565569922175,0.6670865865399974,0.5342210013737879,0.17976924750760515,0.03410477236611465,-0.013660598369462944,1.1814712274080346,0.7271268057784899,
HGB100,primary_subject_id,89,1246,196,133,0.6203852327447833,estimable,0.7880214643805548,0.8563992214952781,0.6776319724802018,0.5372735141026062,0.18052233022362862,0.03797248752663045,-0.01040314758576964,1.1896618568668371,0.7263242375601913,
AdaptiveMath-AI,primary_subject_id,90,495,171,91,0.6242424242424243,low_support,,,,,,,,,,
HGB100,primary_subject_id,90,495,171,91,0.6242424242424243,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,92,561,200,100,0.5472370766488414,low_support,,,,,,,,,,
HGB100,primary_subject_id,92,561,200,100,0.5472370766488414,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,93,369,116,66,0.46070460704607047,low_support,,,,,,,,,,
HGB100,primary_subject_id,93,369,116,66,0.46070460704607047,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,94,656,167,112,0.5396341463414634,low_support,,,,,,,,,,
HGB100,primary_subject_id,94,656,167,112,0.5396341463414634,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,95,654,188,139,0.5825688073394495,low_support,,,,,,,,,,
HGB100,primary_subject_id,95,654,188,139,0.5825688073394495,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,96,9,7,5,0.4444444444444444,low_support,,,,,,,,,,
HGB100,primary_subject_id,96,9,7,5,0.4444444444444444,low_support,,,,,,,,,,
