scenario,model,seed,N,design,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
without_SVD,Ablation_no_question,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7597586362608688,0.8512884339545721,0.605006501285344,0.5480897757004948,0.18575705107778728,0.008301963895658316,-0.04352631791517892,1.0135803501298246,0.716525615574627,
without_SVD,Ablation_no_subject,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7628722746054877,0.8534421156930726,0.6087107028688817,0.5455854922322596,0.18472714081176927,0.007827562292112143,-0.038291113935464825,1.0229608295558796,0.7185525720055099,
without_SVD,AdaptiveMath-AI,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7629776586979673,0.8535368318047836,0.6087152466877307,0.5454850376123894,0.18468280979685536,0.007363253494934475,-0.0331393355761606,1.0258667422432528,0.7186431233237282,
without_SVD,Converged_item_intercept,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7629823094403669,0.8535924694148571,0.6086089106670949,0.5454623933589455,0.18467282785934777,0.006802857300965789,-0.022941217048647607,1.0301428159104251,0.718677950753812,
without_SVD,HGB100,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7597613846393985,0.8513466567305152,0.6060211442916261,0.5477999124615485,0.18569720367910722,0.005746203372724611,-0.02526416901233919,1.009586381245561,0.7168460279313988,
without_SVD,HGB80,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7597885741263806,0.8514205197761016,0.6062212546423683,0.5477772754209401,0.1856877406935512,0.005530661696462583,-0.027109270720642304,1.0150269826321399,0.7169853376517344,
without_SVD,HGB80_anchor,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7593128395703052,0.8509822109623778,0.6046845588711907,0.5483233994451424,0.1858435573383099,0.004556806946958993,-0.010388429109030943,1.017069754880219,0.7165047191165766,
without_SVD,No_calibration,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7629776586979673,0.8535368318047836,0.6087152466877307,0.5454850376123894,0.18468280979685536,0.007363253494934475,-0.0331393355761606,1.0258667422432528,0.7186431233237282,
without_SVD,Plus_hierarchy,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7629776586979673,0.8535368318047836,0.6087152466877307,0.5454850376123894,0.18468280979685536,0.007363253494934475,-0.0331393355761606,1.0258667422432528,0.7186431233237282,
without_SVD,Plus_question_memory,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7629831684215835,0.8535912618128634,0.6086085888394301,0.5454618623584538,0.1846721706277171,0.006750520553888833,-0.022759016602216332,1.0301698591803887,0.7186849162398288,
first_y_EWM,Ablation_no_question,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7593135491172744,0.8511627715982291,0.6041493149332307,0.5484795179581553,0.18592957491936443,0.007886333902031578,-0.04336650645279024,1.0145018657959266,0.7166649252949626,
first_y_EWM,Ablation_no_subject,20260713,143565,one factor; fixed primary-selected hyperparameters; separately refitted pipeline,0.7623917264810763,0.8532652534277916,0.6080825385824923,0.5459895348307486,0.18490120114394387,0.007353544173442247,-0.03692688110897228,1.0235994422557808,0.718176435760604,
