contrast,cluster,metric,delta,lower,upper,B_requested,B_valid,B_invalid,count_delta_le0,count_delta_ge0,p_two_sided,p_formula,minimum_p_resolution,uncertainty,estimator,model_lower,model_upper,comparator_lower,comparator_upper,slice_or_scenario,comparison,N,inference_scope
cold_unseen_student_known_question,student,Brier,-0.0017900739547974942,-0.0022416866083333114,-0.0013435919992930007,5000,5000,0,5000,0,0.0003999200159968006,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.17190423046720008,0.18489351887194544,0.17359876243263458,0.18677579687866905,unseen_student_known_question,AdaptiveMath-AI - HGB100,26943,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
cold_unseen_student_known_question,student,ECE15,0.002521865023134215,-0.002909336753072196,0.0057861813326979695,5000,5000,0,1043,3957,0.4175164967006599,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.009001836590838011,0.018338896863476718,0.007790462943593575,0.016120303076888325,unseen_student_known_question,AdaptiveMath-AI - HGB100,26943,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_learner_feedback,student,ROC_AUC,0.0012340685770669824,-0.0016062501642915173,0.004145021675934739,5000,5000,0,1034,3966,0.41391721655668867,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.6681968889958502,0.7115153651188352,0.6671209491508769,0.7100472870283521,learner_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_learner_feedback,student,Log_Loss,-0.0014726659390730257,-0.0029165405838820655,-6.199377052552396e-06,5000,5000,0,4880,120,0.04839032193561288,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5089810902812826,0.5564461089610729,0.5107431037097546,0.557563690015358,learner_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_learner_feedback,student,Brier,-0.0004657623851437309,-0.0010376734023308763,0.00010536353746899589,5000,5000,0,4705,295,0.118376324735053,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.16822134670716704,0.18784369493359732,0.16871993801626378,0.18821040906494302,learner_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_learner_feedback,student,ECE15,-0.0010143620774507416,-0.007414503301724301,0.007025715788937053,5000,5000,0,2833,2167,0.8670265946810638,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.014897658188283083,0.03269901787036566,0.015281722305598114,0.033230964419894295,learner_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_learner_feedback,question,ROC_AUC,0.0012340685770669824,-0.0014211584117084313,0.004007043099613646,5000,5000,0,914,4086,0.3659268146370726,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.6761927750079539,0.7039849405909757,0.6753175047579667,0.7028480841405151,learner_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_learner_feedback,question,Log_Loss,-0.0014726659390730257,-0.0029120824144809347,-0.00012526162406588948,5000,5000,0,4922,78,0.03159368126374725,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.5197912120427657,0.5459415667010105,0.5214694552691614,0.5471885742563851,learner_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_learner_feedback,question,Brier,-0.0004657623851437309,-0.0010478953524611797,7.549501388542981e-05,5000,5000,0,4744,256,0.10277944411117776,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.17258558802084592,0.18358481802083684,0.1731418577123901,0.18395758914302615,learner_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_learner_feedback,question,ECE15,-0.0010143620774507416,-0.007396215847013431,0.006329300675935221,5000,5000,0,2966,2034,0.8138372325534893,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,paired cluster multiplicity weights,0.014509290458843022,0.03155104596324644,0.01518401972263094,0.03289823259385464,learner_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_learner_feedback,crossed,ROC_AUC,0.0012340685770669824,-0.0035786752921405456,0.0059554353772271725,5000,5000,0,1503,3497,0.6014797040591882,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.6609565797819077,0.7190828837645448,0.6600316806482683,0.7178219902834158,learner_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_learner_feedback,crossed,Log_Loss,-0.0014726659390730257,-0.00394175920751596,0.000983130515694877,5000,5000,0,4425,575,0.23035392921415718,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.5030896980187132,0.5619713663971508,0.5049605407718573,0.56327215006194,learner_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
unseen_q_learner_feedback,crossed,Brier,-0.0004657623851437309,-0.0014395241075769096,0.000492692403544682,5000,5000,0,4162,838,0.33553289342131576,"min(1, 2*(min(count<=0,count>=0)+1)/(B_valid+1))",0.0003999200159968006,conditional on fixed fitted predictions; seed variability separate,crossed independent multinomial pigeonhole product weights,0.16568337953554238,0.19007923156631903,0.16642494991972917,0.19043125037477915,learner_feedback,AdaptiveMath-AI - HGB100,7071,Exploratory nominal fixed-prediction CI; no independent confirmation or required superiority.
