Feature_Group,Feature_Count,Permutation_Log_Loss_Increase,Permutation_ROC_AUC_Decrease
Student history,21,0.05836619460684911,0.07083753210686716
Question difficulty,7,0.03793562398392425,0.04168942536178755
Psychometric,3,0.03055622127723845,0.03577952710073373
Temporal,8,0.00573086347872287,0.00616819104449895
Learning context,7,0.004264167505124261,0.004668152673035886
Concept and mastery,6,0.002598234808619204,0.0027265393149853434
Demographics/missingness,2,0.0007435568115521374,0.0008701573784340999
Collaborative,2,0.0005921300852976819,0.0006215657323952462
Other,3,1.9778770721234906e-07,4.504099510138637e-06
