seed,model,N,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
20260713,Ablation_no_question,143565,0.7595930516357572,0.8511631655973778,0.6059033659058592,0.5479490893743186,0.18574162312101788,0.0046682850569057825,-0.017170849222451125,1.0142670771350075,0.7171803712602043,
20260713,Ablation_no_subject,143565,0.7640863153145949,0.8543455390297721,0.6109112138219279,0.5443930191751074,0.18427614467767303,0.0066434081056063275,-0.019087781664164714,1.0293887187715935,0.7195207745618425,
20260713,AdaptiveMath-AI,143565,0.7641311173175793,0.8543730028094478,0.6109370872946555,0.5443652401196317,0.18426233860370433,0.0065869946965653285,-0.019032308832803563,1.0299693665400433,0.7194929126177754,
20260713,Converged_item_intercept,143565,0.764294018928359,0.8544828627635735,0.6111285470323989,0.5442649713456938,0.18422326196449046,0.007480710974874669,-0.028573676971687542,1.03528566945343,0.719534705533876,
20260713,HGB100,143565,0.759735616159453,0.8515622707240087,0.6054115751056697,0.5476974424923994,0.18570224775044766,0.005264793969041031,-0.010954317375519194,1.0068066679453724,0.7172709225784224,
20260713,HGB80,143565,0.7599574034727938,0.8516728907527921,0.6058304125903226,0.5475546584641313,0.18563611711914585,0.0051278220682594924,-0.02550080089762718,1.017301576929266,0.7172291296623218,
20260713,HGB80_anchor,143565,0.7595864995923206,0.8511692708371048,0.605712548479,0.5479769797754598,0.1857546239719666,0.005651920918440861,-0.02491896809566964,1.020093258469889,0.7168042350152982,
20260713,No_calibration,143565,0.7642198955027053,0.8544195989841351,0.6111463245565362,0.5443161827999897,0.18424443779723187,0.007508331027049735,-0.029843908613051022,1.0336437136418208,0.7196113258800606,
20260713,Plus_hierarchy,143565,0.7642198955027053,0.8544195989841351,0.6111463245565362,0.5443161827999897,0.18424443779723187,0.007508331027049735,-0.029843908613051022,1.0336437136418208,0.7196113258800606,
20260713,Plus_question_memory,143565,0.7642968029117772,0.8544839399765467,0.6111356362631334,0.5442622460379509,0.18422178386211838,0.007506470111512181,-0.028306601094968402,1.035395933077346,0.7195138090758257,
20260714,Ablation_no_question,143565,0.7595930516357572,0.8511631655973778,0.6059033659058592,0.5479490893743186,0.18574162312101788,0.0046682850569057825,-0.017170849222451125,1.0142670771350075,0.7171803712602043,
20260714,Ablation_no_subject,143565,0.7640863153145949,0.8543455390297721,0.6109112138219279,0.5443930191751074,0.18427614467767303,0.0066434081056063275,-0.019087781664164714,1.0293887187715935,0.7195207745618425,
