Split,Comparator,Replicates,Delta_ROC_AUC,AUC_CI_Lower,AUC_CI_Upper,AUC_Two_Sided_P,Delta_Log_Loss,Log_Loss_CI_Lower,Log_Loss_CI_Upper,Delta_Brier,Brier_CI_Lower,Brier_CI_Upper,Cluster_Unit,Evidence_Status,Evidence_Role
validation,Equal-label-budget HGB100,5000,0.0017076652199686,0.0010765828562654,0.0023598774849529,0.0003999200159968,-0.0013587989882943,-0.0019461562334453,-0.0007869883875445,-0.0005738979975399,-0.0008157148235902,-0.0003329050249063,user_id,selection evidence,Primary selection evidence
temporal_test,Equal-label-budget HGB100,5000,0.0011319004529807,0.0001973729436307,0.0020921209204624,0.0175964807038592,-0.0007994624049307,-0.0016950579656008,7.428252461238139e-05,-0.0003168995166066,-0.0006867831445852,5.305381865856938e-05,user_id,secondary non-confirmatory,Secondary non-confirmatory diagnostic
